,隊伍,,出賽,打數,安打,全壘打,打點,盜壘,得分,保送,三振,打擊率,上壘率,長打率
1,,波士頓紅襪,90,"3,193",924,108,478,59,501,319,640,0.289,0.357,0.471
2,,科羅拉多落磯,92,"3,179",865,114,453,37,476,288,739,0.272,0.335,0.456
3,,邁阿密馬林魚,92,"3,200",871,78,372,31,387,264,708,0.272,0.331,0.408
4,,堪薩斯市皇家,92,"3,153",855,82,353,52,371,213,670,0.271,0.321,0.409
5,,巴爾的摩金鶯,91,"3,143",847,142,430,13,451,273,771,0.269,0.33,0.462
6,,洛杉機天使,93,"3,156",839,88,411,35,428,276,545,0.266,0.328,0.41
7,,亞利桑那響尾蛇,93,"3,252",866,107,397,64,417,260,828,0.266,0.324,0.437
8,,底特律老虎,93,"3,208",854,120,420,39,439,276,778,0.266,0.327,0.436
9,,德州遊騎兵,94,"3,203",844,115,439,54,453,247,699,0.264,0.321,0.426
10,,匹茲堡海盜,92,"3,203",836,89,406,71,426,300,780,0.261,0.333,0.408
11,,聖路易紅雀,92,"3,180",831,126,459,21,479,321,717,0.261,0.334,0.449
12,,西雅圖水手,93,"3,190",832,133,427,26,444,290,728,0.261,0.328,0.439
13,,舊金山巨人,93,"3,179",830,80,411,49,434,333,619,0.261,0.334,0.405
14,,克里夫蘭印地安人,92,"3,193",828,118,431,69,454,293,732,0.259,0.322,0.435
15,,芝加哥小熊,92,"3,130",794,121,453,37,475,387,796,0.254,0.345,0.432
16,,多倫多藍鳥,94,"3,207",810,134,443,31,463,362,778,0.253,0.334,0.438
17,,奧克蘭運動家,93,"3,166",798,98,378,38,389,236,628,0.252,0.307,0.401
18,,明尼蘇達雙城,92,"3,164",790,107,382,60,403,292,777,0.25,0.316,0.413
19,,華盛頓國民,93,"3,162",791,127,421,58,434,335,714,0.25,0.325,0.426
20,,紐約洋基,92,"3,099",776,96,359,45,381,260,628,0.25,0.311,0.395
21,,芝加哥白襪,92,"3,121",778,90,353,42,372,269,748,0.249,0.313,0.397
22,,密爾瓦基釀酒人,90,"2,957",725,92,337,79,355,329,859,0.245,0.322,0.391
23,,洛杉磯道奇,94,"3,178",774,102,374,27,401,322,734,0.244,0.318,0.396
24,,聖地牙哥教士,93,"3,165",773,108,394,77,411,256,854,0.244,0.304,0.404
25,,休士頓太空人,93,"3,174",776,117,399,72,420,346,861,0.244,0.323,0.417
26,,費城費城人,94,"3,110",747,91,319,39,337,217,744,0.24,0.293,0.388
27,,辛辛那提紅人,93,"3,119",744,101,366,71,391,246,779,0.239,0.299,0.395
28,,坦帕灣光芒,92,"3,090",736,122,347,32,357,270,838,0.238,0.306,0.419
29,,紐約大都會,92,"3,046",722,127,340,22,348,292,779,0.237,0.309,0.414
30,,亞特蘭大勇士,93,"3,174",752,57,297,48,315,263,718,0.237,0.301,0.348
