,隊伍,,打擊率,上壘率,長打率,,
1,,波士頓紅襪,0.289,0.357,0.471,4.36,0
2,,科羅拉多落磯,0.272,0.335,0.456,3.43,1
3,,邁阿密馬林魚,0.272,0.331,0.408,3.03,1
4,,堪薩斯市皇家,0.271,0.321,0.409,3.75,1
5,,巴爾的摩金鶯,0.269,0.33,0.462,4.05,0
6,,洛杉機天使,0.266,0.328,0.41,5.4,1
7,,亞利桑那響尾蛇,0.266,0.324,0.437,4.49,1
8,,底特律老虎,0.266,0.327,0.436,4.91,1
9,,德州遊騎兵,0.264,0.321,0.426,9.72,0
10,,匹茲堡海盜,0.261,0.333,0.408,4.89,1
11,,聖路易紅雀,0.261,0.334,0.449,4,1
12,,西雅圖水手,0.261,0.328,0.439,4.26,1
13,,舊金山巨人,0.261,0.334,0.405,2.64,0
14,,克里夫蘭印地安人,0.259,0.322,0.435,4.58,0
15,,芝加哥小熊,0.254,0.345,0.432,2.89,1
16,,多倫多藍鳥,0.253,0.334,0.438,3.98,1
17,,奧克蘭運動家,0.252,0.307,0.401,4.25,1
18,,明尼蘇達雙城,0.25,0.316,0.413,5.02,0
19,,華盛頓國民,0.25,0.325,0.426,4.91,0
20,,紐約洋基,0.25,0.311,0.395,4.96,1
21,,芝加哥白襪,0.249,0.313,0.397,4.14,0
22,,密爾瓦基釀酒人,0.245,0.322,0.391,2.45,0
23,,洛杉磯道奇,0.244,0.318,0.396,3.25,0
24,,聖地牙哥教士,0.244,0.304,0.404,4.55,0
25,,休士頓太空人,0.244,0.323,0.417,4.75,0
26,,費城費城人,0.24,0.293,0.388,4.98,0
27,,辛辛那提紅人,0.239,0.299,0.395,4.66,1
28,,坦帕灣光芒,0.238,0.306,0.419,5.64,0
29,,紐約大都會,0.237,0.309,0.414,3.56,0
30,,亞特蘭大勇士,0.237,0.301,0.348,4.67,0
